,album_id,album_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),0.757,0.61,7,-4.84,1,0.0327,0.00942,3.66E-05,0.367,0.685,116.998
1,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),0.733,0.733,0,-5.376,1,0.067,0.0885,0,0.168,0.701,96.057
2,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),0.511,0.822,11,-4.785,0,0.0397,0.000421,0.0197,0.0899,0.305,94.868
3,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),0.545,0.885,0,-5.968,1,0.0447,0.000537,5.59E-05,0.385,0.206,92.021
4,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),0.588,0.721,0,-5.579,1,0.0317,0.000656,0,0.131,0.52,96.997
5,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),0.636,0.808,7,-5.693,1,0.0729,0.0121,2.18E-05,0.359,0.917,160.058
6,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),0.67,0.858,0,-6.528,1,0.0439,0.00354,1.25E-05,0.0687,0.539,118.009
7,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),0.618,0.683,7,-6.438,1,0.194,0.0362,0,0.305,0.363,169.971
8,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),0.589,0.674,8,-7.48,1,0.0656,0.0436,7.18E-05,0.112,0.514,139.985
9,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),0.758,0.691,5,-5.798,1,0.0515,0.00196,1.09E-05,0.0939,0.538,119.997
10,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor’s Version),0.471,0.509,1,-8.796,0,0.0355,0.316,0,0.0673,0.0567,144.071
11,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),0.582,0.788,0,-5.358,1,0.0445,0.0999,0,0.115,0.652,160.027
12,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),0.772,0.391,4,-8.892,1,0.0293,0.25,2.92E-05,0.0981,0.258,103.955
13,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],6HRsJu8vcnzYDN4t0570FY,Wonderland (Taylor's Version),0.464,0.705,3,-5.97,1,0.0434,0.00976,2.61E-05,0.209,0.385,183.892
14,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],0TyGh27YQ5LknmiDhCzJiT,You Are In Love (Taylor's Version),0.363,0.498,9,-9.473,1,0.0755,0.61,3.91E-06,0.112,0.477,84.68
15,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],5M787RexsAiVYjQusM98CV,New Romantics (Taylor's Version),0.649,0.846,5,-5.958,1,0.0602,0.00675,4.63E-06,0.0824,0.698,121.978
16,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],0CD7DzeCsuPJygddqlUVYa,"""Slut!"" (Taylor's Version) (From The Vault)",0.591,0.412,2,-13.27,1,0.0863,0.309,0.000199,0.0608,0.328,155.875
17,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],3CCRVu4F91Qp2mnGjmWBrf,Say Don't Go (Taylor's Version) (From The Vault),0.633,0.551,4,-8.297,1,0.0341,0.066,9.94E-06,0.127,0.164,109.95
18,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],5QUIK7ZtziW8kGWo8RqopF,Now That We Don't Talk (Taylor's Version) (From The Vault),0.8,0.501,0,-9.332,1,0.034,0.16,7.14E-05,0.0874,0.0831,110.013
19,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],6M9ppdfFjR1AbpUl3Y8DcV,Suburban Legends (Taylor's Version) (From The Vault),0.701,0.625,0,-8.804,1,0.036,0.207,0,0.105,0.323,118.036
20,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),7G0gBu6nLdhFDPRLc0HdDG,Mine (Taylor's Version),0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38E-06,0.171,0.49,121.08
21,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),3MytWN8L7shNYzGl4tAKRp,Sparks Fly (Taylor’s Version),0.588,0.758,5,-2.347,1,0.0305,0.0251,0,0.131,0.387,114.991
22,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),79uDOz0zuuWS7HWxzMmTa2,Back To December (Taylor's Version),0.497,0.635,2,-3.927,1,0.0273,0.00621,0,0.117,0.203,142.063
23,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),5xXqyjLicvEpch72qEryFT,Speak Now (Taylor's Version),0.727,0.677,7,-2.871,1,0.0325,0.248,0,0.143,0.639,118.995
24,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),1zU8j1x3yi9xalMF96pzKp,Dear John (Taylor's Version),0.419,0.47,4,-5.016,1,0.0296,0.0236,0,0.163,0.133,119.294
25,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),30Y4CV7A6YqtQtTTo7Ue4j,Mean (Taylor's Version),0.524,0.692,4,-3.866,1,0.0369,0.311,0,0.192,0.621,163.874
26,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),6dTA6y0C2ReQklntzZl8l3,The Story Of Us (Taylor's Version),0.515,0.781,4,-2.608,1,0.0535,0.00192,0,0.054,0.57,139.846
27,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2EFZ9emtKWEglWUQGEQ3P9,Never Grow Up (Taylor's Version),0.685,0.323,2,-7.103,1,0.0289,0.851,0,0.198,0.569,125.058
28,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),0.505,0.532,8,-3.526,1,0.0265,0.012,0,0.149,0.216,81.907
29,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),0.496,0.885,11,-2.969,0,0.0803,0.000886,0,0.191,0.665,145.863
30,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),12nBPF4Rh4XLFJV0YLN7uj,Innocent (Taylor's Version),0.522,0.598,1,-5.327,0,0.0284,0.101,0,0.152,0.149,133.627
31,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),4tMzIAFTFdqGBQLdfbPces,Haunted (Taylor's Version),0.427,0.915,5,-1.909,1,0.0619,0.00667,0,0.221,0.355,162.201
32,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),59KOoHFcw5XfICnO57holu,Last Kiss (Taylor's Version),0.55,0.366,10,-8.46,1,0.0276,0.447,4.43E-06,0.101,0.16,79.401
33,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),4hqJ4bSlYJOXb6Z4SRmzxs,Long Live (Taylor's Version),0.375,0.65,0,-4.031,1,0.0402,0.0122,0,0.189,0.0752,203.89
34,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),3yNJkriPzWjkkDAWHIAVUq,Ours (Taylor’s Version),0.535,0.488,0,-8.261,1,0.0278,0.449,0,0.111,0.348,159.813
35,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),4evLyY5Ue1Wesc61t2KXAU,Superman (Taylor’s Version),0.533,0.742,7,-3.473,1,0.0303,0.0031,0,0.108,0.356,131.93
36,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),4e3ZNTAV6PCrdYMUrUlMpQ,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),0.547,0.855,7,-4.7,1,0.0597,0.0164,0,0.144,0.282,131.073
37,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),0zo975x58DlXbZllWvfYhg,When Emma Falls in Love (Taylor’s Version) (From The Vault),0.474,0.763,2,-4.632,1,0.0505,0.159,0,0.138,0.231,78.133
38,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),0.694,0.764,6,-4.893,1,0.0337,0.0586,0,0.0608,0.819,123.044
39,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),4ABYxlb92WBIjHu7TIKmml,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),0.576,0.57,7,-7.925,1,0.0434,0.362,0,0.0668,0.378,147.803
